CONSTITUENCY,AC_NO,WINNER,SEX,PARTY
Manjeshwar,1,P B Abdul Razak,M,IUML
Kasaragod,2,N A Nellikkunnu,M,IUML
Udma,3,K Kunhiraman,M,CPM
Kanhangad,4,E.Chandrashekaran,M,CPI
Trikaripur,5,M.Rajagopalan,M,CPM
Payyannur,6,C Krishnan,M,CPM
Kalliasseri,7,T V Rajesh,M,CPM
Taliparamba,8,James Mathew,M,CPM
Irikkur,9,K C Joseph,M,INC
Azhikode,10,K M Shaji,M,IUML
Kannur,11,Ramachandran Kadannappalli,M,C(S)
Dharmadam,12,Pinarayi Vijayan,M,CPM
Thalassery,13,Adv. A N Shamseer,M,CPM
Kuthuparamba,14,K K Shailaja Teacher,F,CPM
Mattannur,15,E. P. Jayarajan,M,CPM
Peravoor,16,Adv. Sunny Joseph,M,INC
Mananthavady,17,O R Kelu,M,CPM
Sulthanbathery,18,I C Balakrishnan,M,INC
Kalpetta,19,C K Saseendran,M,CPM
Vadakara,20,C.K.Nanu,M,JD(S)
Kuttiadi,21,Parakkal Abdulla,M,IUML
Nadapuram,22,E. K. Vijayan,M,CPI
Quilandy,23,K.Dasan,M,CPM
Perambra,24,T.P.Ramakrishnan,M,CPM
Balusseri,25,Purushuan Kadalundi,M,CPM
Elathur,26,A K Saseendran,M,NCP
Kozhikode North,27,A Pradeep Kumar,M,CPM
Kozhikode South,28,Dr. M.K.Muneer,M,IUML
Beypore,29,Mammed Koya V K C,M,CPM
Kunnamangalam,30,Adv. P.T.A. Rahim  &#39;E&#39;,M,IND
Koduvally,31,Karat Razack,M,IND
Thiruvambady,32,George M. Thomas,M,CPM
Kondotty,33,T.V. Ibrahim,M,IUML
Eranad,34,P.K Basheer,M,IUML
Nilambur,35,P V Anvar,M,IND
Wandoor,36,A.P.Anil Kumar,M,INC
Manjeri,37,Adv. M Ummer,M,IUML
Perinthalmanna,38,Manjalamkuzhi Ali,M,IUML
Mankada,39,T A Ahammed Kabeer,M,IUML
Malappuram,40,P Ubaidulla,M,IUML
Vengara,41,P.K. Kunhalikkutty,M,IUML
Vallikkunnu,42,Abdul Hameed Master,M,IUML
Tirurangadi,43,P.K Abdu Rabb,M,IUML
Tanur,44,V Abdurahiman,M,NSC
Tirur,45,C. Mammutty (E),M,IUML
Kottakkal,46,Abid Hussain Thangal,M,IUML
Thavanur,47,Dr. K.T. Jaleel,M,IND
Ponnani,48,P. Sreeramakrishnan,M,CPM
Thrithala,49,V.T. Balram,M,INC
Pattambi,50,Muhammed Muhassin,M,CPI
Shornur,51,P.K.Sasi,M,CPM
Ottapalam,52,P Unni,M,CPM
Kongad,53,K.V.Vijayadas,M,CPM
Mannarkad,54,Adv.N.Samsudheen,M,IUML
Malampuzha,55,V S Achuthanandan  E,M,CPM
Palakkad,56,Shafi  Parambil,M,INC
Tarur,57,A.K.Balan,M,CPM
Chittur,58,K Krishnankutty,M,JD(S)
Nenmara,59,K. Babu,M,CPM
Alathur,60,K.D.Prasenan,M,CPM
Chelakkara,61,U R Pradeep,M,CPM
Kunnamkulam,62,A C Moideen(E),M,CPM
Guruvayoor,63,K.V. Abdul Khader,M,CPM
Manalur,64,Murali Perunelly,M,CPM
Wadakkanchery,65,Anil Akkara,M,INC
Ollur,66,Adv. K. Rajan,M,CPI
Thrissur,67,Adv.V S Sunilkumar,M,CPI
Nattika,68,Geetha Gopi,F,CPI
Kaipamangalam,69,E T Taison Master,M,CPI
Irinjalakkuda,70,Prof. K.U. Arunan (E),M,CPM
Puthukkad,71,Prof.C.Raveendranath,M,CPM
Chalakkudy,72,B. D. Devassy,M,CPM
Kodungallur,73,V R Sunilkumar,M,CPI
Perumbavoor,74,Adv. Eldhose Kunnappilly,M,INC
Angamaly,75,Roji M John,M,INC
Aluva,76,Anwar Sadath,M,INC
Kalamassery,77,V K Ebrahim Kunju,M,IUML
Paravur,78,V D Satheesan,M,INC
Vypen,79,S Sarma,M,CPM
Kochi,80,K J Maxy,M,CPM
Thripunithura,81,Adv. M Swaraj,M,CPM
Eranakulam,82,Hibi Eden,M,INC
Thrikkakara,83,Adv.P T Thomas            E,M,INC
Kunnathunad,84,V P  Sajeendran,M,INC
Piravom,85,Anoop Jacob,M,KEC(J)
Muvattupuzha,86,Eldho Abraham,M,CPI
Kothamangalam,87,Antony John,M,CPM
Devikulam,88,S Rajendran,M,CPM
Udumbanchola,89,M.M. Mani,M,CPM
Thodupuzha,90,P.J. Joseph,M,KEC(M)
Idukki,91,Roshy Augustine,M,KEC(M)
Peerumade,92,E S Bijimol,F,CPI
Pala,93,K M Mani,M,KEC(M)
Kaduthuruthy,94,Adv. Mons Joseph,M,KEC(M)
Vaikom,95,C K Asha,F,CPI
Ettumanoor,96,Suresh Kurup,M,CPM
Kottayam,97,Thiruvanchoor Radhakrishnan,M,INC
Puthuppally,98,Oommen Chandy,M,INC
Changanassery,99,C F Thomas,M,KEC(M)
Kanjirappally,100,Dr. N Jayaraj,M,KEC(M)
Poonjar,101,P C George Plathottam,M,IND
Aroor,102,Adv.A.M.Ariff,M,CPM
Cherthala,103,P.Thilothaman,M,CPI
Alappuzha,104,Dr.T.M.Thomas Isaac,M,CPM
Ambalapuzha,105,G.Sudhakaran,M,CPM
Kuttanad,106,Thomas Chandy,M,NCP
Haripad,107,Ramesh Chennithala,M,INC
Kayamkulam,108,Adv.U.Prathibha Hari,F,CPM
Mavelikara,109,R.Rajesh,M,CPM
Chengannur,110,Adv.K.K.Ramachandran Nair,M,CPM
Thiruvalla,111,Adv.Mathew T Thomas,M,JD(S)
Ranni,112,Raju Abraham,M,CPM
Aranmula,113,Veena George,F,CPM
Konni,114,Adoor Prakash,M,INC
Adoor,115,Chittayam Gopakumar,M,CPI
Karunagappally,116,R.Ramachandran,M,CPI
Chavara,117,N.Vijayan Pillai,M,CMPKSC
Kunnathur,118,Kovoor Kunjumon,M,IND
Kottarakkara,119,Adv. P.Aisha Potty,F,CPM
Pathanapuram,120,K.B. Ganesh Kumar,M,KEC(B)
Punalur,121,Adv.K.Raju,M,CPI
Chadayamangalam,122,Mullakkara Retnakaran,M,CPI
Kundara,123,J.Mercy Kutty Amma,F,CPM
Kollam,124,M Mukesh,M,CPM
Eravipuram,125,M. Noushad,M,CPM
Chathannur,126,G.S.Jayalal,M,CPI
Varkala,127,Adv.V.Joy,M,CPM
Attingal,128,Adv.B.Satyan,M,CPM
Chirayinkeezhu,129,V. Sasi,M,CPI
Nedumangad,130,C.Divakaran,M,CPI
Vamanapuram,131,Adv. D.K.Murali,M,CPM
Kazhakkoottam,132,Kadakampally Surendran,M,CPM
Vattiyoorkavu,133,K Muraleedharan,M,INC
Thiruvananthapuram,134,V.S. Sivakumar,M,INC
Nemom,135,O.Rajagopal,M,BJP
Aruvikkara,136,K.S. Sabarinadhan,M,INC
Parassala,137,C.K.Hareendrakumar (C.K.Hareendran),M,CPM
Kattakkada,138,Adv. I.B. Satheesh,M,CPM
Kovalam,139,Adv.M.Vincent,M,INC
Neyyattinkara,140,K.Ansalan,M,CPM
